iteration,t,algo,divided,path_redundancy
0,0,none,False,10.40763854218672
0,0,RND,True,11.311855670103093
0,0,MIRW,True,11.892265193370166
0,0,FFD,True,10.707988980716253
0,0,KMeans,True,2.5957066189624327
0,50,none,False,17.79630554168747
0,50,RND,True,18.115681233933163
0,50,MIRW,True,15.3601108033241
0,50,FFD,True,13.56353591160221
0,50,KMeans,True,3.1548042704626336
0,100,none,False,26.281414237935977
0,100,RND,True,24.230576441102755
0,100,MIRW,True,23.67282321899736
0,100,FFD,True,22.142105263157895
0,100,KMeans,True,3.3548387096774195
0,150,none,False,23.55890603085554
0,150,RND,True,20.348039215686274
0,150,MIRW,True,19.530927835051546
0,150,FFD,True,18.04123711340206
0,150,KMeans,True,5.644939965694682
0,200,none,False,123.71669004207574
0,200,RND,True,119.34558823529412
0,200,MIRW,True,132.14948453608247
0,200,FFD,True,103.38144329896907
0,200,KMeans,True,20.32075471698113
0,250,none,False,42.640356897735074
0,250,RND,True,39.42028985507246
0,250,MIRW,True,40.628787878787875
0,250,FFD,True,40.66498740554156
0,250,KMeans,True,18.58974358974359
0,300,none,False,27.41993281075028
0,300,RND,True,26.20616113744076
0,300,MIRW,True,28.866666666666667
0,300,FFD,True,22.60591133004926
0,300,KMeans,True,8.420608108108109
0,350,none,False,21.911982082866743
0,350,RND,True,19.523696682464454
0,350,MIRW,True,24.33827160493827
0,350,FFD,True,18.051724137931036
0,350,KMeans,True,13.89527027027027
0,400,none,False,20.41849682772084
0,400,RND,True,19.083333333333332
0,400,MIRW,True,20.884408602150536
0,400,FFD,True,18.597855227882036
0,400,KMeans,True,11.3001808318264
0,450,none,False,56.11851332398317
0,450,RND,True,42.8978102189781
0,450,MIRW,True,49.98711340206186
0,450,FFD,True,56.146153846153844
0,450,KMeans,True,16.424398625429554
0,500,none,False,16.283181225554106
0,500,RND,True,14.257372654155496
0,500,MIRW,True,15.536023054755043
0,500,FFD,True,14.785100286532952
0,500,KMeans,True,8.5
0,550,none,False,37.1204259967231
0,550,RND,True,36.51274787535411
0,550,MIRW,True,50.17272727272727
0,550,FFD,True,32.08083832335329
0,550,KMeans,True,17.790654205607478
0,600,none,False,8.367040174911178
0,600,RND,True,8.342105263157896
0,600,MIRW,True,8.960606060606061
0,600,FFD,True,9.477341389728096
0,600,KMeans,True,5.823091247672253
0,650,none,False,8.82766917293233
0,650,RND,True,8.060126582278482
0,650,MIRW,True,9.826666666666666
0,650,FFD,True,9.551155115511552
0,650,KMeans,True,5.225872689938399
0,700,none,False,6.126504255943646
0,700,RND,True,5.984520123839009
0,700,MIRW,True,6.661290322580645
0,700,FFD,True,5.619354838709677
0,700,KMeans,True,4.56686626746507
0,750,none,False,7.222327640733713
0,750,RND,True,7.37037037037037
0,750,MIRW,True,7.2404181184668985
0,750,FFD,True,6.641114982578397
0,750,KMeans,True,4.816777041942605
0,800,none,False,8.954775458570525
0,800,RND,True,9.277227722772277
0,800,MIRW,True,8.177700348432056
0,800,FFD,True,8.045296167247386
0,800,KMeans,True,5.127705627705628
0,850,none,False,8.85502776064158
0,850,RND,True,10.363636363636363
0,850,MIRW,True,8.875
0,850,FFD,True,11.664406779661016
0,850,KMeans,True,6.407563025210084
0,900,none,False,7.343335439039798
0,900,RND,True,6.182119205298013
