iteration,t,algo,divided,path_disparity
0,0,none,False,0.5911902148603101
0,0,RND,True,0.5873652934928928
0,0,MIRW,True,0.6052764400436439
0,0,FFD,True,0.6210042438017718
0,0,KMeans,True,0.8531009872082388
0,1800,none,False,0.6028740086592205
0,1800,RND,True,0.6082811961993293
0,1800,MIRW,True,0.6078156015459929
0,1800,FFD,True,0.6245160047595765
0,1800,KMeans,True,0.8600589034609893
0,100,none,False,0.6464773838461173
0,100,RND,True,0.6229515331118807
0,100,MIRW,True,0.6340288933662063
0,100,FFD,True,0.6449273832393457
0,100,KMeans,True,0.7405687205236545
1,0,none,False,0.5911902148603101
1,0,RND,True,0.5873652934928928
1,0,MIRW,True,0.6052764400436439
1,0,FFD,True,0.6210042438017718
1,0,KMeans,True,0.8531009872082388
1,1800,none,False,0.6028740086592205
1,1800,RND,True,0.6082811961993293
1,1800,MIRW,True,0.6078156015459929
1,1800,FFD,True,0.6245160047595765
1,1800,KMeans,True,0.8600589034609893
1,100,none,False,0.6464773838461173
1,100,RND,True,0.6229515331118807
1,100,MIRW,True,0.6340288933662063
1,100,FFD,True,0.6449273832393457
1,100,KMeans,True,0.7405687205236545
2,0,none,False,0.5911902148603101
2,0,RND,True,0.5873652934928928
2,0,MIRW,True,0.6052764400436439
2,0,FFD,True,0.6210042438017718
2,0,KMeans,True,0.8531009872082388
2,1800,none,False,0.6028740086592205
2,1800,RND,True,0.6082811961993293
2,1800,MIRW,True,0.6078156015459929
2,1800,FFD,True,0.6245160047595765
2,1800,KMeans,True,0.8600589034609893
2,100,none,False,0.6464773838461173
2,100,RND,True,0.6229515331118807
2,100,MIRW,True,0.6340288933662063
2,100,FFD,True,0.6449273832393457
2,100,KMeans,True,0.7405687205236545
3,0,none,False,0.5911902148603101
3,0,RND,True,0.5873652934928928
3,0,MIRW,True,0.6052764400436439
3,0,FFD,True,0.6210042438017718
3,0,KMeans,True,0.8531009872082388
3,1800,none,False,0.6028740086592205
3,1800,RND,True,0.6082811961993293
3,1800,MIRW,True,0.6078156015459929
3,1800,FFD,True,0.6245160047595765
3,1800,KMeans,True,0.8600589034609893
3,100,none,False,0.6464773838461173
3,100,RND,True,0.6229515331118807
3,100,MIRW,True,0.6340288933662063
3,100,FFD,True,0.6449273832393457
3,100,KMeans,True,0.7405687205236545
4,0,none,False,0.5911902148603101
4,0,RND,True,0.5873652934928928
4,0,MIRW,True,0.6052764400436439
4,0,FFD,True,0.6210042438017718
4,0,KMeans,True,0.8531009872082388
4,1800,none,False,0.6028740086592205
4,1800,RND,True,0.6082811961993293
4,1800,MIRW,True,0.6078156015459929
4,1800,FFD,True,0.6245160047595765
4,1800,KMeans,True,0.8600589034609893
4,100,none,False,0.6464773838461173
4,100,RND,True,0.6229515331118807
4,100,MIRW,True,0.6340288933662063
4,100,FFD,True,0.6449273832393457
4,100,KMeans,True,0.7405687205236545
5,0,none,False,0.5911902148603101
5,0,RND,True,0.5873652934928928
5,0,MIRW,True,0.6052764400436439
5,0,FFD,True,0.6210042438017718
5,0,KMeans,True,0.8531009872082388
5,1800,none,False,0.6028740086592205
5,1800,RND,True,0.6082811961993293
5,1800,MIRW,True,0.6078156015459929
5,1800,FFD,True,0.6245160047595765
5,1800,KMeans,True,0.8600589034609893
5,100,none,False,0.6464773838461173
5,100,RND,True,0.6229515331118807
5,100,MIRW,True,0.6340288933662063
5,100,FFD,True,0.6449273832393457
5,100,KMeans,True,0.7405687205236545
6,0,none,False,0.5911902148603101
6,0,RND,True,0.5873652934928928
6,0,MIRW,True,0.6052764400436439
6,0,FFD,True,0.6210042438017718
6,0,KMeans,True,0.8531009872082388
6,1800,none,False,0.6028740086592205
6,1800,RND,True,0.6082811961993293
6,1800,MIRW,True,0.6078156015459929
6,1800,FFD,True,0.6245160047595765
6,1800,KMeans,True,0.8600589034609893
6,100,none,False,0.6464773838461173
6,100,RND,True,0.6229515331118807
6,100,MIRW,True,0.6340288933662063
6,100,FFD,True,0.6449273832393457
6,100,KMeans,True,0.7405687205236545
7,0,none,False,0.5911902148603101
7,0,RND,True,0.5873652934928928
7,0,MIRW,True,0.6052764400436439
7,0,FFD,True,0.6210042438017718
7,0,KMeans,True,0.8531009872082388
