x,iter,t,algo,rmse_force,rmse_clustering,rmse_size,ref_force,ref_clustering,ref_size,flux_ref,flux_div
2,0,0,RND,4.312313236585447,0.03226370179112898,3.0,8.54,0.47772946676870487,50.0,427,2461
2,0,0,MIRW,2.7206616842231592,0.06918715571743471,0.0,8.54,0.47772946676870487,50.0,427,2452
2,0,0,FFD,1.8929280628885212,0.06106844839159705,8.0,8.54,0.47772946676870487,50.0,427,2516
2,0,0,KMeans,1.7708669317561376,0.027658989376611067,7.0,8.54,0.47772946676870487,50.0,427,2501
2,0,100,RND,4.85576494116537,0.04756196409264744,3.0,9.38,0.5327855622862353,50.0,469,2461
2,0,100,MIRW,4.844336899927585,0.0441691560899007,0.0,9.38,0.5327855622862353,50.0,469,2452
2,0,100,FFD,2.4922478640835304,0.07893652420932333,1.0,9.38,0.5327855622862353,50.0,469,2453
2,0,100,KMeans,2.318137354057281,0.028980413507447365,8.0,9.38,0.5327855622862353,50.0,469,2516
2,0,200,RND,5.043628230407974,0.09018640343161391,3.0,10.12,0.5672777792345702,50.0,506,2461
2,0,200,MIRW,2.876803781977491,0.024313341157603786,0.0,10.12,0.5672777792345702,50.0,506,2452
2,0,200,FFD,3.639583022870197,0.040658500429998794,19.0,10.12,0.5672777792345702,50.0,506,2813
2,0,200,KMeans,1.7760572510595425,0.04362633123389189,4.0,10.12,0.5672777792345702,50.0,506,2468
2,0,300,RND,5.191856330839031,0.0738718153655442,3.0,10.08,0.5372243121702335,50.0,504,2461
2,0,300,MIRW,4.678888756959285,0.014689693070817727,0.0,10.08,0.5372243121702335,50.0,504,2452
2,0,300,FFD,4.356069992492686,0.017464633736513115,15.0,10.08,0.5372243121702335,50.0,504,2677
2,0,300,KMeans,1.4604978495397296,0.03593876813804933,1.0,10.08,0.5372243121702335,50.0,504,2453
2,0,400,RND,4.701662656371233,0.15386856836368557,3.0,8.86,0.5695468730615789,50.0,443,2461
2,0,400,MIRW,3.7194085551334637,0.09554984048406141,0.0,8.86,0.5695468730615789,50.0,443,2452
2,0,400,FFD,3.2518229798920073,0.06100841210486935,7.0,8.86,0.5695468730615789,50.0,443,2501
2,0,400,KMeans,2.7639975757442263,0.009310297226175362,15.0,8.86,0.5695468730615789,50.0,443,2677
2,0,500,RND,4.062135854019252,0.05067147184341721,3.0,7.84,0.5500435978709972,50.0,392,2461
2,0,500,MIRW,3.5164755082326393,0.046396789136010835,0.0,7.84,0.5500435978709972,50.0,392,2452
2,0,500,FFD,4.858300425456701,0.3889901924936886,44.0,7.84,0.5500435978709972,50.0,392,4388
2,0,500,KMeans,2.843050862029997,0.06529134263417453,14.0,7.84,0.5500435978709972,50.0,392,2648
2,0,600,RND,3.583038164805025,0.0158802686137668,3.0,6.82,0.4832363682069565,50.0,341,2461
2,0,600,MIRW,3.2815240361758744,0.03492436152199311,0.0,6.82,0.4832363682069565,50.0,341,2452
